"charge","pI","mass"
-1.37215816265341,4.42609658775435,3504.95634
1.02754503775172,8.53046189220423,1691.92504
0.595575998782958,7.63422474346136,5788.64874
3.87098485251317,8.42162592950337,5912.65684
17.1103642102465,10.7005111272009,9290.01144
7.27001090523799,11.1928811158145,4243.93144
10.9977709677907,11.0172003462985,8055.67804
4.6854848094242,9.0109998720447,7256.73334
0.901823794455447,8.05618027523665,1484.76894
1.80957910225509,8.12837712539325,4426.11964
4.59642346588106,8.58961556881643,6917.12134
-1.90516757349473,4.89013442111234,4705.34034
-1.00008912755844,4.18439118272939,503.55284
22.3568109643557,12.1361711328152,7910.53924
2.99768264294024,12.5164608828312,1211.43734
2.00451670540283,9.38943730000658,10174.62704
0.361368183268804,7.60378716710729,7437.65234
0.36934876154109,7.86593529599924,9270.42784
4.99653388356968,12.2477016004473,1391.68774
4.68439713243949,8.59115803690958,5889.68984
19.2950916753109,12.3269980221359,7157.73914
17.3350852382882,12.1969932372652,11780.73524
3.7783501797305,8.41316650408781,5744.44204
2.68792262449416,8.20975504899123,8709.22404
0.36206552965298,7.84457590225457,3444.68874
17.9926736900567,12.0306231660364,4362.01824
-2.40038104199843,4.95042399493552,7056.98544
9.18675400100057,10.5838538616204,10067.73884
2.62612606993985,8.38904704227729,2562.07494
5.00315665677624,10.2663076705677,10295.02954
2.59420480610046,8.20617953583392,6067.03664
2.71800278764817,8.37999808868337,4802.40444
3.93812480654397,9.04531802415986,7441.77314
5.0087612399221,11.4224384271416,7564.80004
-1.17742358454998,5.03493156029081,7885.23544
9.81345566300298,10.3117753519128,9740.46164
5.68288897880848,8.78636032077734,5738.71024
6.62582110218709,10.08393041646,4576.47924
-1.86998518889283,5.72247348243674,9259.29034
3.80595956752365,8.62025648534591,4341.05694
3.99680416398473,11.2783537870744,1984.49944
20.9925495570149,11.743805514043,12008.26654
1.02606494885792,8.53479632213506,1082.20174
6.68611281441065,9.003274608942,6114.28284
16.1829432895607,12.4078598077161,11060.01194
2.72097414349003,8.37545421614748,5965.08374
-1.89217203016498,5.13508245666371,7345.59384
-1.81467520823433,5.65172019016746,9816.14404
-0.906942696240543,5.72021839355966,4175.74964
2.09036685659514,11.4797279065031,1733.09004
6.50535718204192,8.99171826589753,6036.18014
-2.1734446555581,4.75616025664788,8248.64224
7.00983776293264,10.9875330415441,7972.45744
-4.05126041255244,4.30217856720915,5133.81784
2.99841753834675,12.5000183727722,1423.72804
0.722323860037497,7.75447450059241,6213.98314
-0.310528361552255,7.14526780267089,5112.65804
2.1004622696839,9.88317198823738,10634.07534
-3.90884244870565,3.69840600532536,7936.63114
11.842945758453,10.9697551832085,7431.74894
2.73049654916183,9.92405957528147,3788.00364
3.80639156232416,8.62492854920915,4388.07874
0.963798510380805,8.23280427685963,1424.74144
-1.65398283303252,5.54138781382787,7225.16984
6.59106805119526,8.94025945164553,7171.32374
0.722697743652432,7.74982302416651,8213.44414
-2.49462331433661,4.40147591345088,6125.07494
5.93598971566589,12.8010715605104,1669.07624
3.50330358194536,8.4009047337682,5992.01254
2.09143970412539,10.2360824936615,4869.65054
3.99743383866022,10.6985265129119,3070.62574
-2.90149154510886,4.53523895612124,4731.41874
-0.118002608784154,6.57372415343673,7949.15324
-0.0344263668733853,7.25154052089595,1639.81814
2.273199774758,9.58054637403247,7294.43164
1.96641742474443,8.83102223042587,1372.62624
-0.283687226914245,7.03607293995128,4590.10614
-0.815274836461452,6.51018994624761,4049.67774
4.68495582410605,8.59565823061023,5752.59214
-2.00067955944249,3.82609731340487,1572.73784
3.08888345640109,12.8010407247574,1402.75244
-5.99495076492756,4.90932956391483,9897.37864
-1.27298375770082,5.77350439390652,8101.01384
11.2156210684557,10.7270055454607,9938.83654
12.8424085089231,11.2942469949759,9377.92574
3.09036354529489,12.2226160579498,5020.85934
3.99797105419175,12.977126078135,1421.79884
0.940236977359983,8.48015780400543,5357.22014
1.99908084678238,8.1277767993136,10077.39514
12.085388915569,11.4667066399414,5627.68374
4.86690070279028,8.599729868254,5635.35764
2.997974365492,12.8010750964857,1194.53254
-5.1547087048316,3.84349834390916,5878.78054
0.504304202313178,7.60458926536189,6640.48904
-0.247978430736763,6.337421017003,6966.16284
-2.27998722488874,4.59130340243858,3679.32254
6.83872300544972,10.1980295853555,5718.91624
11.4558600452273,11.0091774873001,10127.94984
4.99744170541422,10.6320721456474,5940.13484
15.0897403645884,13.2431479254725,5309.18604
-1.24647197087487,4.63599940186528,4044.57674
1.00301587793167,9.37069018772356,3797.32434
-2.27932249869551,4.66453983046337,7629.17084
-1.40729539534097,5.64508903913114,5876.66484
7.25888886636207,8.70188941287166,10601.59154
10.7797175782195,10.4243768986548,10251.93904
13.9991477836663,12.742888333115,4904.82954
2.77938010898902,8.21740054935507,5700.34384
1.99187915984598,8.50935351756839,2216.58084
9.99736774128674,13.3479220987543,3818.58494
3.59712662107008,8.40777095670871,5918.93954
4.86719242534203,8.6008522073002,5667.39994
1.02754503775172,8.53046189220423,1523.72954
5.50359985995086,8.77494059327991,7418.69984
14.0258697480923,11.3083352178688,8837.41004
5.99550564808028,10.3927662346357,5322.32004
2.93570792701489,11.4811930700396,1818.22054
3.00121526419123,9.86551714595213,10357.99844
6.99509340164735,11.7473056540851,2278.82094
2.74739516494112,8.64715805011377,6965.55294
8.00035601780989,11.1595480386743,6380.86204
4.87098154121292,8.61145374641582,8375.71954
7.72311276633441,9.91032873572438,9413.36104
1.60184375676872,7.9728046555946,8150.58864
4.63126125167865,8.85165743663378,8275.53964
19.8372787534139,11.389413947427,11809.00534
5.99566658266841,10.8350517195716,5898.09754
-10.9766522335489,4.17576489660237,10607.89894
0.597499260531519,7.63415314929392,7299.55544
-0.0646526351610703,6.41468534771173,6200.35814
2.7514974794988,8.65601777644607,6938.21324
-4.27318507905775,4.3480427196646,5754.50654
-3.78261158091936,4.79922392069818,4841.36604
-1.00016959485251,4.25813484931083,2369.63624
5.1189055324496,10.4903815175447,6652.98524
0.937778083612699,8.54983270663766,3160.60074
11.9938600739669,12.1738553477044,4545.60534
1.87373652238978,8.82818173368203,1649.90304
6.77785084340302,9.04781151408613,5355.08404
4.99767602033974,12.9809405332763,1314.60524
11.0104644904879,11.0790873721261,8260.82054
10.0712283202769,10.3726895574677,11246.22314
-2.3100306427559,5.61683760989098,6924.89244
-10.8876866264517,4.01622447922915,7057.65814
